Joakim Brodén,1980-10-05,Sweden,Sabaton
Pär Sundström,1981-06-08,Sweden,Sabaton
Chris Rörland,1986-12-27,Sweden,Sabaton
Hannes Van Dahl,1990-01-18,Sweden,Sabaton
Tommy Johansson,1987-10-26,Sweden,Sabaton
Lemmy Kilmister,1945-12-24,United Kingdom,Motörhead
Phil Campbell,1961-05-07,Wales,Motörhead
Mikkey Dee,1963-10-31,Sweden,Motörhead
Freddie Mercury,1946-09-05,United Kingdom,Queen
John Deacon,1951-08-19,United Kingdom,Queen
Roger Taylor,1949-07-26,United Kingdom,Queen
Brian May,1947-07-19,United Kingdom,Queen
Bono,1960-05-10,Ireland,U2
The Edge,1961-08-08,United Kingdom,U2
Adam Clayton,1960-03-13,United Kingdom,U2
Larry Mullen Jr.,1961-10-31,Ireland,U2
Agnetha Fältskog,1950-04-05,Sweden,ABBA
Anni-Frid Lyngstad,1945-11-15,Sweden,ABBA
Björn Ulvaeus,1945-04-25,Sweden,ABBA
Benny Andersson,1946-12-16,Sweden,ABBA
Guy-Manuel de Homem-Christo,1974-02-08,France,Daft Punk
Thomas Bangalter,1975-01-03,France,Daft Punk
Andy Fletcher,1961-07-08,United Kingdom,Depeche Mode
Martin Gore,1961-07-23,United Kingdom,Depeche Mode
Dave Gahan,1962-05-09,United Kingdom,Depeche Mode